No.,채널,날짜,작성자,제목,URL,세대
9,인스티즈3,20210315,,그니까 물이 가득 차 있어야 작동할 수 있는 거야? (=물을 더 채워야 함) 아니면 낭비인...,http://www.instiz.net/name/42074331?category=1,10대
10,리그 오브 레전드,20210314,착잡****,"    
 
 
 
 
 
일단 손님들이 이쁜 여자가 많아서 
눈호강은 존나게...",https://cafe.naver.com/ArticleRead.nhn?clubid=19543191&userDisplay=50&boardtype=L&articleid=26770652&referrerAllArticles=false,10대
11,리그 오브 레전드2,20210314,작은****,"    
 
 
 
 
 
할미집에 세탁건조기 놔주기로 얘기끗남ㅋㅋㅋ 
? ...",https://cafe.naver.com/ArticleRead.nhn?clubid=19543191&userDisplay=50&boardtype=L&articleid=26769299&referrerAllArticles=false,10대
12,인스티즈3,20210314,,만족스러워?? 어디 거 쓰고 있는지 추천 부탁해요!!,http://www.instiz.net/name/42051603?category=1,10대
13,인스티즈3,20210309,,??,http://www.instiz.net/name/41953039?category=1,10대
1,네이트 판2,20210430,,오늘 시험 끝나고 우리 집에서 반 친구들 몇명이랑 엽떡 치킨 피자 등등 시켜서 먹었는데 (...,https://pann.nate.com/talk/359408228,10대
2,인스티즈3,20210428,,주방창문이 눈대중으로도 더 크네ㅋㅋㅋ 기름튀어서 잘 제거 안되서 지금 딱 머리 스친게 이거...,http://www.instiz.net/name/42859538?category=1,10대
3,인스티즈2,20210413,,탁! 하고 탁~ 해서 샥! 하고 샤악~ 하면 삭~ 나오는 식기세척기 pic.twitter....,http://www.instiz.net/name_enter/78516089?&category=2,10대
4,인스티즈3,20210409,,세탁기 냉장고 식기세척기 정수기 스타일러 청정기 안마의자 같은거.. 다하면 돈이 얼마야..,http://www.instiz.net/name/42529436?category=1,10대
5,인스티즈3,20210409,,아니 생각이 안나.....생각이....내가 뭘 갖고싶었더라...요즘에 식기세척기 갖고싶은게...,http://www.instiz.net/name/42527095?category=1,10대
6,인스티즈3,20210405,,"이성 사랑방  에 게시된 글입니다 
넘편해ㅠㅠㅠ설거지때문에 스트레스안받아도되고",http://www.instiz.net/name/42451016?category=1,10대
7,인스티즈3,20210403,,"몇인 가구고, 몇인용 식기세척기 사용해?",http://www.instiz.net/name/42416258?category=1,10대
8,페이트/그랜드 오더,20210402,잠꼬*,"    
 
 
 
 
 
저 잘쓰고 있어요.     ",https://cafe.naver.com/ArticleRead.nhn?clubid=29199987&userDisplay=50&boardtype=L&articleid=2699118&referrerAllArticles=false,10대
1,인스티즈3,20210531,,"설거지를 하기 싫어서 식기세척기를 사면.. 세척이 다 된 식기들을 세척기에서 안 빼고,, ...",http://www.instiz.net/name/43450307?category=1,10대
2,네이트 판2,20210530,,엄마 아빠 부산에 계시고 언니랑 나랑 둘이서 서울 사는데 맨날 나한테 설거지 시키는거임 ㅈ...,https://pann.nate.com/talk/360146538,10대
3,제5인격 공식 카페,20210524,월요*,"    
 
 
 
 
 
식기세척기 굿     
 
 
 
      ...",https://cafe.naver.com/ArticleRead.nhn?clubid=29465158&userDisplay=50&boardtype=L&articleid=4737083&referrerAllArticles=false,10대
4,인스티즈3,20210521,,암튼그래야함 식기세척기 사랑해,http://www.instiz.net/name/43292266?category=1,10대
5,인스티즈3,20210514,,"이성 사랑방  에 게시된 글입니다 
재산 없어도 며느리 도리로 할 건 하는게 당연한거라 ...",http://www.instiz.net/name/43173430?category=1,10대
6,인스티즈3,20210514,,진심 갖고싶음 130만원은 내가 1월부터 알바해서 모은건데 어케생각해!?!?,http://www.instiz.net/name/43171426?category=1,10대
7,인스티즈3,20210513,,아빠랑 개싸움 아빠가 설치 기사가 20분이면 끝난댔는데 니가 뭘 잘못 건드렸으니까 이렇게 ...,http://www.instiz.net/name/43155996?category=1,10대
8,리그 오브 레전드,20210511,수학**,"    
 
 
 
 
 
첫날부터(오전뷔페만) 450명 다녀감 
? 
7시...",https://cafe.naver.com/ArticleRead.nhn?clubid=19543191&userDisplay=50&boardtype=L&articleid=27064506&referrerAllArticles=false,10대
9,리그 오브 레전드,20210511,수학**,"    
 
 
 
 
 
첫날부터(오전뷔페만) 450명 다녀감 
? 
7시...",https://cafe.naver.com/ArticleRead.nhn?clubid=19543191&userDisplay=50&boardtype=L&articleid=27064431&referrerAllArticles=false,10대
10,네이트 판2,20210508,,제니가 우리집 놀러와서 식기세척기 어떻게 쓰는거냐고 물어봄 ㅅㅂ ㅋㅅㅋㅅㅋㅅㅋㅅㄱㅋㄱㅋㄱㅋ...,https://pann.nate.com/talk/359573775,10대
11,인스티즈2,20210507,,7일 부동산 업계에 따르면 손지창오연수 부부는 지난 2월 청담동 빌딩(93-2번지)을 15...,http://www.instiz.net/name_enter/79008154?&category=2,10대
12,인스티즈3,20210506,,나는 오픈인데 맨날 전 날 행주 하나도 안 빨아서 내가 출근하자마자 빨아야함. 쓰레기 안 ...,http://www.instiz.net/name/43002138?category=1,10대
13,인스티즈3,20210505,,주방 이모들이 유자차 마시려는데 병뚜껑 안 따지고 알바생들도 못 따서 끙끙거리는데 마침 식...,http://www.instiz.net/name/42985858?category=1,10대
1,인스티즈3,20210625,,"진짜루... 
나는 식기세척기 없는 곳에서 알바하는데 죽을 맛임...^^ 알바 도중에 엉...",http://www.instiz.net/name/43846185?category=1,10대
2,인스티즈3,20210622,,너네 퐁퐁이로 닦기만 하고 바로 넣고 돌려 아니면 퐁퐁이로 닦고 물로 헹구고 넣어? 난 후...,http://www.instiz.net/name/43789530?category=1,10대
3,인스티즈3,20210615,,직원들 휴게실?? 이런것도 따로 없어서 거의 서서 밥먹고… 일하는 도중에는 한번도 못 앉아...,http://www.instiz.net/name/43691428?category=1,10대
4,인스티즈3,20210615,,"이성 사랑방  에 게시된 글입니다 
글쓴이가 지금까지 준  는  0개 입니다 (최대 5개...",http://www.instiz.net/name/43683969?category=1,10대
5,인스티즈3,20210614,,식기세척기 없고 자꾸 퐁퐁 안좋다고 우겨 그냥 수세미로만 닦아서 접시보면 고춧가루 묻어있고...,http://www.instiz.net/name/43672246?category=1,10대
6,인스티즈3,20210612,,이거 식기세척기 넣어도 돼?,http://www.instiz.net/name/43631442?category=1,10대
7,인스티즈3,20210609,,식기세척기 전용세제 있는줄 모르고 주방세제 주우욱 짜고 돌렸는데 거품이 흘러나와서 주방 거...,http://www.instiz.net/name/43594566?category=1,10대
8,인스티즈3,20210605,,맛있다 하고 마시고 있는데 안돌린거 알아채서ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,http://www.instiz.net/name/43531144?category=1,10대
1,인스티즈3,20210731,,"이성 사랑방  에 게시된 글입니다 
전부 50-100만원 사이의 고가의 선물이긴한데......",http://www.instiz.net/name/44508921?category=1,10대
2,인스티즈3,20210729,,집이가난해서 남친은 아무것도 필요없고 굳이 해올거면 식기세척기만 해오라고 농담식으로말하는데...,http://www.instiz.net/name/44469856?category=1,10대
3,네이트 판2,20210725,,"식기세척기

로봇청소기

에어컨

정수기

공기청정기

스타일러는 자리차...",https://pann.nate.com/talk/361354952,10대
4,인스티즈3,20210725,,어때? 진짜 기름때 말고 밥먹은 그릇 이런 거 넣고 돌리면 손 설거지 저리가라야??,http://www.instiz.net/name/44333383?category=1,10대
5,인스티즈3,20210724,,거의 다 있어 ???,http://www.instiz.net/name/44313065?category=1,10대
6,리그 오브 레전드,20210723,커피*,"냉장고랑 식기세척기샀는데 알록달록한게 이쁘더라 
근데 가격은 안 이쁨",https://cafe.naver.com/ArticleRead.nhn?clubid=19543191&userDisplay=50&boardtype=L&articleid=27442409&referrerAllArticles=false,10대
7,네이트 판2,20210721,,"심지어 얼마전에 새걸로 또 바꿈..
걍 장식이야",https://pann.nate.com/talk/361270305,10대
8,네이트 판2,20210719,,ㅈㄱㄴ 우리엄마 진짜 배울만큼 배울사람인데도 왜그러는지 모르겠음 친구들한테 얘기하기도 쪽팔...,https://pann.nate.com/talk/361237739,10대
9,인스티즈3,20210718,,내가 식기세척기 된 거 같음 식기세척기가 부업으로 음료 만드는 일 하는 거 같음,http://www.instiz.net/name/44211421?category=1,10대
10,인스티즈3,20210718,,"원래 다 이런가? 외식 못 하겠네 어휴 
벌레붙어도 반죽 안 버리고 살짝 떼고 말고 
...",http://www.instiz.net/name/44199989?category=1,10대
11,인스티즈3,20210717,,청소기도 안밀어서 로봇청소기 삼..,http://www.instiz.net/name/44191049?category=1,10대
12,리그 오브 레전드,20210715,물 *,"애벌안하고 건더기나 양념묻은 상태로 세제 색변한걸로 그릇닦을려니까 구역질나옴 
보통 애벌...",https://cafe.naver.com/ArticleRead.nhn?clubid=19543191&userDisplay=50&boardtype=L&articleid=27400087&referrerAllArticles=false,10대
13,인스티즈3,20210711,,처음 설거지 해봤는데 손이 엄청 따갑더라고.. 아빠가 고무장갑 끼고해야지 하길래 껴봤는데 ...,http://www.instiz.net/name/44094566?category=1,10대
14,인스티즈3,20210711,,보니까 퐁퐁도 사용 안하고 그냥 물 한번 쓰윽 헹구더니 저기안에 쏘옥 넣던데 저거 넣고 버...,http://www.instiz.net/name/44093851?category=1,10대
15,인스티즈3,20210708,,막 설거지시키고 식기세척기 쓸줄 모른다고 고나리하고 양파까라는데 한번도 못까봐서 알려달라 ...,http://www.instiz.net/name/44037701?category=1,10대
16,인스티즈3,20210704,,그냥 먹고난 그릇을 식기세척기에 넣기만 하면 될 줄 알았는데 알아보니까 기름기도 씻어내고 ...,http://www.instiz.net/name/43977511?category=1,10대
17,인스티즈3,20210701,,고기굽는 집게 안쪽 봄 기름진거 집는거+손님 고기 다먹고 후식 먹는동안 기름 다 식어서 굳...,http://www.instiz.net/name/43930482?category=1,10대
1,인스티즈3,20210829,,진짜 엄청 편해? 넣기만하면 뽀독뽀독 닦아주고 소독도 해주지? 요즘 설거지에 너무 짜증나서...,http://www.instiz.net/name/45065532?category=1,10대
2,인스티즈3,20210826,,내 개인적인 측정요소이긴 한데...ㅋㅋ 나는 식기세척기 못사면 결혼 못할거같음 솔직히 설거...,http://www.instiz.net/name/45009922?category=1,10대
3,인스티즈3,20210825,,우리 집은 대대로 먹고 나서 바로바로 안 치워 그러다가 내가 올해부터 먹으면 좀 바로 치우...,http://www.instiz.net/name/45007711?category=1,10대
4,인스티즈3,20210821,,이번달 월급 한 200 나올것같아... 엄마 식기세척기 사주고 한 30정도 빚갚는데 쓰고 ...,http://www.instiz.net/name/44935046?category=1,10대
5,인스티즈3,20210818,,1세대 : 머그컵 사용 필수 이전세대 -설거지거리 적었다고 함 -쓰니는 이 세대 아니라 잘...,http://www.instiz.net/name/44878350?category=1,10대
6,인스티즈3,20210808,,사진처럼 그 구멍막아서 뜨신 물 가득 채운 다음에 퐁퐁을 저렇게 풀어 그리고 저기 접시를 ...,http://www.instiz.net/name/44708271?category=1,10대
7,인스티즈3,20210807,,??,http://www.instiz.net/name/44676336?category=1,10대
1,인스티즈3,20210925,,되쥬? 알바에서 거품내고 넣거든... 사장한테 건의해도 될라나 넘 대드는거 같을까,http://www.instiz.net/name/45538410?category=1,10대
2,인스티즈3,20210923,,"우리집 전형적인 가난한데 엄청 심한 가부장적인 집안... 
아빠의 취미는 엄마 시켜서 대...",http://www.instiz.net/name/45510125?category=1,10대
3,인스티즈3,20210922,,건조기 스타일러 식기세척기 음쓰건조기 로봇청소기(물걸레용까지 두개) 크고 좋은 오븐,http://www.instiz.net/name/45489746?category=1,10대
4,힙합LE,20210921,,https://www.instagram.com/tv/CUDFeq-JxRY/?utm_medi...,https://hiphople.com/workroom/21415829,10대
5,인스티즈3,20210921,,100만원 이하면 좋겠고.. 애벌설거지 안해도 되면 좋겠엉,http://www.instiz.net/name/45472682?category=1,10대
6,네이트 판2,20210915,,"재난지원금도 못받앗지렁

ㅈㅅ 자랑좀해보고싶엇어",https://pann.nate.com/talk/362499855,10대
7,인스티즈3,20210914,,식기세척기 사려는데 하이마트 온라인도 좀 비싸다..,http://www.instiz.net/name/45363145?category=1,10대
8,인스티즈3,20210913,,먼저 나 결혼전에 언니가 임신 했었은데 유산을 했었음 그 후에 내가 결혼하고 허니문 베이비...,http://www.instiz.net/name/45346547?category=1,10대
9,인스티즈3,20210908,,추천하닝 ??? 추천한다면 어디거가 좋아??,http://www.instiz.net/name/45253706?category=1,10대
10,네이트 판2,20210907,,맨날 자취하고싶다 노래를 불렀는데 현실적으로 생각해보니까 개에바임 ㅠㅠ 집에서 쓰던 가전제...,https://pann.nate.com/talk/362343781,10대
11,좀비 고등학교 모바일,20210905,무관*,어?,https://cafe.naver.com/ArticleRead.nhn?clubid=27131930&userDisplay=50&boardtype=L&articleid=10491275&referrerAllArticles=false,10대
12,인스티즈3,20210904,,뒤집어놔야돼?????,http://www.instiz.net/name/45166813?category=1,10대
13,인스티즈3,20210902,,나 한번도 안써봤는데 진짜 밥먹고 설거지 아예 안하고 그냥 식기세척기에 넣기만하면 기름때랑...,http://www.instiz.net/name/45135023?category=1,10대
1,인스티즈3,20211028,,나는 이제 일한지 6개월정도 됐고 프리랜서라 수입이 일정치가 않은데 보통 월 180~220...,http://www.instiz.net/name/46074520?category=1,10대
2,네이트 판2,20211027,,"만두 찜기ㅠㅠ 너무.. 뜨겁다 진짜 너무..
만두 꺼낼 때 아뜨아뜨의 반복임

식기세...",https://pann.nate.com/talk/363292906,10대
3,인스티즈3,20211025,,나 외모는 별로지만 집안환경도 괜찮고 직장도 괜찮아서 가끔 다가오는 사람들 보면 의아할때가...,http://www.instiz.net/name/46018903?category=1,10대
4,인스티즈3,20211024,,"자기가 자기보고 식기세척기라고 부르고 있는 거 아님? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
진짜 별?",http://www.instiz.net/name/46007749?category=1,10대
5,인스티즈3,20211024,,외적으로 많이 꿀리고 자존감 낮고 가진게 직업밖에 없으니까 저런 생각 드는거지 뭐… 내세울...,http://www.instiz.net/name/46007063?category=1,10대
6,인스티즈3,20211024,,설마 뭐 모쏠을 깨끗한 그릇에 비유하고 연애 경험 많은 사람을 더러운 그릇에 비유해서 씻어...,http://www.instiz.net/name/46006128?category=1,10대
7,리그 오브 레전드,20211024,KS*,"아니 설거지론에 따르면 30살에는 여친 생기는거 맞지?? 
 
?",https://cafe.naver.com/ArticleRead.nhn?clubid=19543191&userDisplay=50&boardtype=L&articleid=27861951&referrerAllArticles=false,10대
8,인스티즈3,20211022,,결혼한지 3년인데 아기 낳아서 일그만두고 전업주부인데 남편이 애기 낳으면 힘들다고 로봇청소...,http://www.instiz.net/name/45983594?category=1,10대
9,인스티즈3,20211018,,씻는데 소음 개무서워,http://www.instiz.net/name/45926460?category=1,10대
10,인스티즈3,20211016,,좋을거같아,http://www.instiz.net/name/45889048?category=1,10대
11,인스티즈3,20211016,,유용하게 써?? 괜찮으면 취업하고 엄마 사드리게..!,http://www.instiz.net/name/45881508?category=1,10대
12,인스티즈3,20211014,,더 실용성 좋은게 있나..?,http://www.instiz.net/name/45857860?category=1,10대
13,인스티즈3,20211013,,세탁기랑 건조기도 왠만하면 다 집안에 기본옵션으로 구비돼있고 없어도 건물 안에 공용세탁기건...,http://www.instiz.net/name/45832650?category=1,10대
14,인스티즈3,20211012,,"하울(구매자랑) 에 게시된 글입니다 l 설정하기
설거지 너무 싫어서... 할부로 샀어 ...",http://www.instiz.net/name/45829522?category=1,10대
15,인스티즈3,20211011,,아 월급기념으로 식세기 사줄랬는데 엄마가 김치좋다고 김치냉장고 사달래... 아니 식세기가 ...,http://www.instiz.net/name/45796302?category=1,10대
16,인스티즈3,20211009,,부모님 사드릴까 하는데 식기세척기 넣기 전에 대강 씻어내느라 일을 두배로 한다는 말도 있어...,http://www.instiz.net/name/45771919?category=1,10대
17,인스티즈3,20211006,,"외삼촌 세분이 다 굵직한 사업체 운영하시는데 언니 냉장고, 세탁기, 건조기, 스타일러, 식...",http://www.instiz.net/name/45725064?category=1,10대
18,인스티즈3,20211001,,밥 먹고 밥그릇 잘 닦여? 꼭 애벌 해야 돼? 애벌 안 하면 잔여물 남아?,http://www.instiz.net/name/45636605?category=1,10대
1,수만휘,20211130,sj****,"내일 첫 알바 주방보조로 갑니다ㅏ 
식기세척기 담당이 주요 업무라 하는데 
그냥 요리좋...",https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&userDisplay=50&boardtype=L&articleid=25947001&referrerAllArticles=false,10대
2,인스티즈3,20211129,,냉장고vs식기세척기vs세탁기vs김치냉장고 가격 생각 말고 젤 갖고 싶으신 게 뭘까?,http://www.instiz.net/name/46546646?category=1,10대
3,리그 오브 레전드,20211129,나 *,"? 
? 
? 
? 
? 
? 
? 
? 
? 
? 
11월 한달을 갈아...",https://cafe.naver.com/ArticleRead.nhn?clubid=19543191&userDisplay=50&boardtype=L&articleid=28023794&referrerAllArticles=false,10대
4,리그 오브 레전드,20211126,뇌절*,"외관은 이렇고 대충 200년 쯤 됐다. 
옛날건물이라 물건들이 다 존나 옛날거다. 
 ...",https://cafe.naver.com/ArticleRead.nhn?clubid=19543191&userDisplay=50&boardtype=L&articleid=28012780&referrerAllArticles=false,10대
5,인스티즈3,20211126,,들어온 사람 진짜 짜증 난당 ㅎ 자기 집도 아니면서 왜 집 자꾸 건드려고 함 식기세척기 하...,http://www.instiz.net/name/46507251?category=1,10대
6,인스티즈3,20211121,,주방 정리하고 설거지 한다는데 식기세척기 사용한대 할만한가?...집에서 3 정류장 버스타면...,http://www.instiz.net/name/46429501?category=1,10대
7,인스티즈3,20211118,,동생 낼 수능보는데 거실에서 지금까지 tv보고 떠들고 밤11시에 씻고 화장실 청소하는지 바...,http://www.instiz.net/name/46378044?category=1,10대
8,인스티즈3,20211114,,"깨끗함 
식기세척기 쓰고 설거지는 걍 한번 슥 씻는 정도만 
근데 꿔바로우 그릇은 개 ...",http://www.instiz.net/name/46323933?category=1,10대
9,피커투,20211114,블이*,ㅋㅋㅋㅋ 진짜 한심하다 이카르디..,https://cafe.naver.com/ArticleRead.nhn?clubid=16350627&userDisplay=50&boardtype=L&articleid=10565529&referrerAllArticles=false,10대
10,인스티즈3,20211112,,"겉옷 깨끗하게 하는 건 스타일러가, 청소는 로봇청소기가 다 해 이렇게 편리 귯귯 근데 로봇...",http://www.instiz.net/name/46296460?category=1,10대
11,인스티즈3,20211112,,시간머선일...왜케 오래걸려,http://www.instiz.net/name/46296371?category=1,10대
12,인스티즈3,20211112,,??,http://www.instiz.net/name/46292926?category=1,10대
13,인스티즈3,20211111,,안마기 세라잼? 스타일러 공기청정기 식기세척기 건조기 빔이랑 우퍼스피커 아이맥 에어랩 프라...,http://www.instiz.net/name/46282194?category=1,10대
14,인스티즈3,20211111,,식기세척기 처음써보는데 세제 추천좀 해줄수있어?? 예전에 여기서 두개? 정도 봤던거같은데ㅠ...,http://www.instiz.net/name/46278881?category=1,10대
15,인스티즈3,20211110,,휴게소 식당으로 들어갔는데.. 나 주업무가 사람들 먹은거 식기세척기에 올려서 그릇 구분하는...,http://www.instiz.net/name/46263737?category=1,10대
16,인스티즈3,20211110,,설거지가 너무 하기싫어서 모아뒀다가 한번에 하거나 밥을안먹거나 배달시켜 먹었었는데. 2달동...,http://www.instiz.net/name/46255704?category=1,10대
17,인스티즈3,20211106,,있니 만족도 어때....,http://www.instiz.net/name/46208989?category=1,10대
18,인스티즈3,20211103,,두근두근... 식기세척기 처음 써봐...,http://www.instiz.net/name/46163167?category=1,10대
19,힙합LE,20211103,,https://www.instagram.com/p/CVxs0E6Pj2J/?utm_sourc...,https://hiphople.com/kboard/21766909,10대
20,인스티즈3,20211102,,삶의 질 진짜 수직상승...!! 개수대에 다 모아놨다가 음식물만 거름망에 담고 그릇 세척기...,http://www.instiz.net/name/46138244?category=1,10대
1,인스티즈3,20211229,,내가 손에 열이 많아서 뜨거운거 잘 못잡거든 근데 알바하면서 식기세척기 돌린 그릇을 맨손으...,http://www.instiz.net/name/46980868?category=1,10대
2,인스티즈3,20211225,,ㅈㄱㄴ,http://www.instiz.net/name/46929531?category=1,10대
3,검은사막,20211222,모험***********,"진짜 정신병걸린거같음 진심으로 병원가봐라 심각하다 
남들 다자는 새벽에 쟁걸어놓고 지보다...",https://forum.blackdesertm.com/Board/Detail?boardNo=12&contentNo=487486,10대
4,인스티즈3,20211221,,물에 담궜다가 한 번 헹구고 말리기만 하면 끝...,http://www.instiz.net/name/46869116?category=1,10대
5,인스티즈3,20211217,,나는 설거지 빨래 청소 다 너무너무 귀찮은데…또 내집에 낯선사람이 들어와서 같이 산다 생각...,http://www.instiz.net/name/46819127?category=1,10대
6,인스티즈3,20211217,,나 자취하는데 설거지 귀찮아서 식기 세척기 살까 생각중인데 지인이 설거지 사람이 하면 금방...,http://www.instiz.net/name/46815338?category=1,10대
7,인스티즈3,20211215,,식기세척기 공기청정기 청소세제 전등 홍삼 이런거 다 비교해서 올려줌 ㄹㅇ 신기하다 재밋음....,http://www.instiz.net/name/46784869?category=1,10대
8,인스티즈3,20211213,,우리집은 돌아가면서 설거지 하거든 나는 내 차례 아니어도 내가 먹은 식기 항상 뜨거운물에 ...,http://www.instiz.net/name/46746001?category=1,10대
