,id,date,dateYear,dateMonth,dateDay,rating,userName,content
10,11,20220704,2022,07,04,1,Kwangyong Park,에어컨 와이파이 연결해 보려다 혈압으로 병원부터 갈거 같네요. 애써 스마트폰 두대를 준비까지해서 등록해도 네트워크가 뜨지도 않아서 변경도 안되고 어플리케이션 개발 및 유지보수는 돈주고 하는거 맞죠? 맞는거죠? 할말은 많지만 공간이 충분해도 적지는 않겠습니다.
11,12,20220629,2022,06,29,1,박허이짜,"에어컨 리모컨이 사라져서 연결하려 하는데, 와이파이를 연결하려해서 비번을 입력하면 화면이 하얗ㅂ게 먹통이 됩니다. 강제 종료하고 다시 실행하면 똑같은 증상이 반복됩니다. IOT는 점점 더 많은 수요가 원할텐데 IOT가 이따위면 점점 고객들은 LG를 떠날수 밖에 없을겁니다. 폰도 옵티머스부터 G4까지 사용하다 더이상 쉴드가 힘들어져 떠났는데 백색가전마저 이러면 LG가 잘되길 바라는 한 사람으로서 버티기 힘듭니다. 분발해 주세요."
12,13,20220701,2022,07,01,1,유유,예전 lg폰에도 그냥있던 기능인데 리모컨 기능좀 넣어주시지..스마트가전 와이파이연결해서 등록해야 리모컨을 쓸수있게 해놨네요.. 리모컨이 없어서 켜질못해서 어플찾아 다운받고 가입까지한건데 이게 뭔일인지..어플설명에는 기본리모컨은 지원되는거처럼 되어있어서 한참찾아다녔네요..엘지는 다 갖춰놓고 한끗씩 이렇게 사람 진빠지게하는게 있는거같아요
13,14,20220707,2022,07,07,5,Sun-ae Cho,원격제어도 너무 편하고 기본 기능 외에 다양한 기능을 씽큐를 통해 사용할 수 있어서 좋아요~ 덕분에 LG가전으로 싹 맞춰서 잘 쓰고 있어요😆 하나 건의 드리자면.. 씽큐 알림 소리를 다양하게 설정할 수 있으면 좋겠어요. 특히 워시타워는 세탁실 소리가 잘 안들려서 씽큐앱 통해서 세탁기 다 돌아간걸 아는 경우가 많은데 알림메시지가 너무 빠르게 지나가서 이마저도 놓칠때가 많아요. 알림음을 세탁기 멜로디처럼 다양하게 설정할 수 있게 해주시면(예를들어 카톡 알림음처럼..) 제때 세탁기나 건조기 종료를 알 수 있어서 유용할 것 같아요. 의견 참고해주세요~
14,15,20220628,2022,06,28,2,박철희,"확실히 예전 초기 때보단 사용도 편리해졌다. 하지만 아직 갈 길이 멀다. lg thinQ, 삼성 smartthings 모두 사용하는데 아직 삼성에 비해 편리성도 떨어지고 사소한 오류들이 많다. 제품 연결 오류도 자주 일어나고 연결 자체가 끊어지는 경우도 빈번하다.(실제로 끊어진 것도 아님에도...) 희망적인 것은 초기 때보다 확실히 상향되었다는 점이다. 초기 thinQ는 정말 사용도 불편하고 오류도 더 많았지만 확실히 개선되었다. 앞으로 조금 더 개선되면 더 좋은 앱이 될 수 있을 듯 하다. 22.06.28 추가 앱이 개선되긴 커녕 오히려 나빠졌다. 위에서 언급한 것들이 계속 반복되고 앱에서 조작하나 실제론 작동하지 않는 것 같이 자잘한 오류가 생긴다. 댓글들 보니 1:1 문의로 사용로그 함께 보내면 된다하는데 믿어선 안 된다. 로그를 보내면 뭐하나? 보지않고 앵무새처럼 답변한다. 나에게 맞지 않는 상황을 들먹이며 정해진 답변만 반복하니 답답하고 불편하다."
15,16,20220626,2022,06,26,3,bj kim,에어컨 같은경우 연결안됨이 너무빈번하게 발생합니다 서비스센터에서 wifi모듈까지 교체받았는데 모듈문제가 아닌듯합니다 에어컨에는 wifi표시가 활성화 되있어도 앱에서는 연결안됨 이라고 사용할수없습니다 소비자 피드백 드리는겁니다 저의경우는 다른가전은 문제없습니다 스텐드에어컨만 문제입니다 모델명: FQ25LCNBEN.AKOR
16,17,20220627,2022,06,27,3,뉴뉴뉴,1. 비밀번호 변경 - 3개월 사용 비밀번호라고 변경하라고 하면서 기존 비밀번호라고 변경 안됨. 물론 다른 비밀번호로 시도했지만 여전히 어플로는 변경불가. 결국 비밀번호 재설정을 통하여 피씨로 변경. 2. 자동 로그아웃 - 로그아웃한 적이 없는데 자동으로 로그아웃됨. 재로그임 하려고 하면 로그인이 안됨. 일정시간 후 로그인이 되긴 하지만 필요시에 안되면 매우 불편. 3. 에어건 조작 버벅거림. - 에어컨 설정 조작시 어플내에서 바로 실행이 안됨. 에어컨 뿐 아니라 전체적으로 어플이 사용시 로딩 4. 건조기 및 세탁기 - 건조기와 세탁기의 전원이 들어와 있어야 원격으로 설정가능함. 상황에 따라 개인의 맞춤으로 코스의 상세한 설정하고 싶지만 다운받은 코스 그대로 사용해야하는 아쉬움이 있음. 5. 원격이 주는 편리함 - 그럼에도 원격으로 부터 주는 생활의 편리함은 놓칠 수 없는 부분이기도 함. 요즘처럼 습할 때 퇴근하기 전 에어컨 미리 틀어 놓으면 쾌적하고 엄청엄청 좋음
17,18,20220713,2022,07,13,1,Google 사용자,업데이트 전 버전으로 다시 되돌리는 방법은 없나요? 시간대별 에너지모니터링이 안되니 불편합니다. 데이터를 불러올수 없다는 메세지에 하루 누적 에너지사용량 표시만 되는거 진짜 별로입니다. 업데이트 전 버전이 더 좋아요. 되돌리는 방법이 있다면 알려주세요.!!!
18,19,20220629,2022,06,29,5,권한숙,ThinQ를 사용하는건 참 편하다고 생각했고... 요즘은 모든 가전제품을 ThinQ로 이용하고 있는데... 특히 워시타워 종류는 세세한 세탁과 건조를 하려면 핸드폰에서 연결되어서 작동하는게 더 많은것 같은데.. 갑자기 워시타워만 핸드폰 화면에서 로딩이 안되고 불편합니다.. 어찌보면 가장 ThinQ 앱을 많이 이용해야되는 가전인데... 제 핸드폰만 그런게 아니라 가족 모두 안되는게 무엇이 문제인지 알수가 없네요... 그냥 워시타워에서 작동을 해야되니 세세한 코스를 이용할수도 없고 불편한데 어떡해야 될까요..?? Up를 업그레이드 한 후에 워시타워를 핸드폰에서 볼수가 없으니... 참 이럴땐 난감합니다...😓😓
19,20,20220627,2022,06,27,1,IZ Kim,업데이트 후 링크 새로 해야 하고 일부는 적용 안 됨.. 시네빔은 연결 항목에도 없음.. 진짜 어플 하나 제대로 못 만들고 그나마 검증도 안 하고 강제 적용 시켜서.. 왜 안 격어도 될 불편을 주지요? 납득이 안 되네요.. 다음 부턴 자체 테스트라도 해서 문제 없을 때 내놓으세요!!!
20,21,20220702,2022,07,02,2,얍뜌비,에어컨 연결하는 시간이 너무 오래걸려서 들어갔다 나왔다하게되고 들어가서 뭐하나 설정하면 또 로딩하는 시간이 길어지고 안되면 또 나갔다 들어갔다.... 왔다갔다를 몇번하고 계속 기다림의 연속이네요. 그리고 다크모드 적용도 안되는 어플이라니요......LG인데......
21,22,20220623,2022,06,23,5,goo goo,에어컨과 제습기 사용중인데요. 에너지 모니터링 가보면 둘의 단위가 다릅니다. 제습기는 Wh인데 에어컨은 kWh로 나옵니다. 에어컨 전력사용량이 커서 그런건 알겠는데 둘의 단위를 맞췄으면 덜헷갈릴것 같습니다. 또한 씽큐앱에 등록된 제습기와 에어컨 등 엘지 가전의 총 전력사용량도 표시해줬으면 좋겠어요
22,23,20220520,2022,05,20,1,sungkun yun,이번 업데이트후 사용하던 제품이 다 사라졌습니다 그래서 연결할려고하니 이미 등록된 제품이라면서 연결은 안되고 홈가니 제품은 안보이고 연결 하려니 등록된 제품이라고 하고..ㅎㅎ 계속 도돌이표를 만들어버리네요.. 스마트진단 이벤트가 있어서 오랫만에 접속했더니 열만 뻣치네요
23,24,20220616,2022,06,16,1,na y,두달정도 업데이트안하고버티다가 해봤는데 엘지진짜 이 앱 더 키우고 끌고갈 의향 있는건가 의심스러움요. 물건팔고 후처리 잘 안되는거 한두번아닌거 잘알지만 엘지 주로 이용하고 좋아하는데 이건 진짜짜증남요. 앱구동 제대로안되는것도그렇고. 업데이투하니꺼 왜 등록된기기들 인식을 하나하나 다시해야할까요.
24,25,20220701,2022,07,01,1,K HJ,한대만 사용할수 있는게 단점... 핸드폰 등록하고 태블릿 등록하고 여러기기 등록 상태서 사용 가능했으면 좋겠는데.. 중국 어플들도 다 되는 기능인데 왜 안돼나요? 어차피 같은 네트워크에서만 작동해서 보안 문제도 없는데..
25,26,20220629,2022,06,29,3,Y,워시타워에 들아가면 아무것도 안뜹니다. up가전센터에서 업데이트한 기능 설정하고 싶은데 아무것도 안떠서 설정 못하고 있어요. 어플에서 제품을 삭제했다가 재연결해봐도 마찬가지네요. 보완 부탁드립니다.
26,27,20220516,2022,05,16,1,최윤철,업데이트하고 난 후에는 앱이 한단계만 들어가면 더 이상 진행안됨. 이틀동안 시도해보다가 안되서 앱 삭제 후에 다시 설치하니 제품 각각의 화면으로 들어갈 수 있게됨. (무한대로 돌아가는 아이콘들 안보게되니 그렇게 반가울 수가....)
27,28,20220516,2022,05,16,1,J.Y Goh,아니 뭐 앱 업데이트만 하면 또 다시 이용 약관 동의하라면서 돌연 기능 제공 안 합니까? 무슨 기능이 바뀐 건지 모를 마이너 업데이트 같은데 또 동의하라 그러고 일년에 업데이트 몇번을 하면서 굉장히 자주 약관 동의 받는데 왜 그러는 거에요? 업데이트 할 때마다 약관 동의 받는 앱은 처음 보네... 신기하게 운영하네 참...
28,29,20220629,2022,06,29,3,Auddn Jean,원래 별 5개 드려야하는데 UI가 업데이트 되고나서 불편하고 촌스러워졌습니다. 제발 되돌려주시죠. 타사랑 비교를 안할 수가 없게되는 UI입니다. 초기가 더 직관적이고 정보 전달도 용이했습니다. 빨리 되돌려주세요.
29,30,20220510,2022,05,10,2,이동건,"앱 개발자님, 띵큐에 대한 의견은 아니지만.. LG폰 개발부서에 이 의견을 꼭 전해주십시오. 저는 LG Q92 사용자입니다. 플래그십은 아니지만 APU스펙으로 보면 V시리즈나 벨벳보다 많이 못한 것도 아니죠. 그런데 Q92기기에서.. 애플티비 앱을 공식적으로 설치 할 수 없는게 실화입니까? 안드로이드 10, 11 정식 업데이트 된 LG기기들(가능하다면 그 이전버전 폰에서도), 이 중에 애플티비가 안되는 모델이 없는지 확인하고, 합당한 조치를 바랍니다. 띵큐는 엘지전자 제품을 쓰는 누구나에게 필요한것이긴 하지만, 띵큐는 잘도 업데이트 하는데 아직 멀쩡하게 잘 쓸 스마트폰에 대해서는 제대로 신경을 안쓰는걸로 보여서, 화가 많이 납니다."
30,31,20220622,2022,06,22,5,나일강,이 어플 사용중에는 리모콘 사용이 안되는건가요?? 벽걸이에어컨 리모콘이 작동을 안하더라구요. 에어컨 껏다가 다시 켜서 리모콘 으로 하면 되는데 어플로 작동시키면 리모콘이 다시 먹통이 되요. ///////// 오늘 어플로 사용하다가 리모콘에 전원 버튼을 한번 누르고 나서 사용이 가능하더라구요. 앱을 처음 써봐서 몰랐어요. 어플 사용시는 리모콘이 무슨 휴면 모드로 변하고 리모콘을 사용하려면 전원 버튼을 한번 눌러야되나봐요.
31,32,20220512,2022,05,12,5,안송이,"재작년 결혼시 신혼가전이 다 LG인데요 처음에는 핸드폰으로 전자기기 켜고 끄는정도밖에 활용이 안됐는데 as신청도 이거로할수있고, 와이파이연결하면 안방에서 모든 기기 설정까지 만질수 있어서 점점 만족중입니다. 앞으로도 업그레이드 계속 부탁해요!"
32,33,20220411,2022,04,11,5,Min Soo Jeong,"어플 사용 잘 하고 있습니다. 한가지 제안을 드리려고 하는데요. ThinQ어플에서 TV 연결한다음 스마트폰으로 타자검색 기능(음성인식 말고)이 있으면 아주 편리할 듯합니다. 유튜브, 넷플릭스 검색할때 리모컨으로 하나하나 옮겨가면서 검색하기 너무 힘들어요. ThinQ라는 좋은 어플이 있는데 검색 기능이 없는 게 너무 안타깝습니다. 꼭 검색 기능 만들어주세요!"
33,34,20220716,2022,07,16,1,대박 인생ᅳᅳᅳ,정말최악~ 1:1문의했더니 폰두개로 하난 핫스팟으로 연결하라고요? 집박에서 에어컨 켜고 끄고 하려는데 누가 이딴거 쓰려고 내가 폰을 두개를 가지고다녀야하나? 차라리 따른 전자회사꺼 쓰고말지~ 대응 하는것도 정말 최악이고 뭐 어플 따라만들고 컨트롤? 연결 자체도 안되는걸 대응 하는건 어처구니없고 다시는 LG쓰고싶지 않네요. 집에 있는 LG제품 다 버리고싶네!!!
34,35,20220712,2022,07,12,1,Gc LEE,인터페이스나 기능적으로 제약이 너무 많습니다 제품마다 그 제약이 배가 되기도 합니다. 그리고 이 어플은 굉장히 멍청합니다. 자동화라는 명칭을 쓰기에 부끄러울 수준입니다. 삼성 gos 사태 이후 모든 가전은 LG로 넘어오고 있는 중이지만 LG가전의 핵심적인 어플이 이지경일줄은 몰랐습니다. 그 생각에 변함은 없지만 이 어플은 제 결정에 의구심을 만들기엔 충분합니다. 지금까지의 결론적으로 폰 사업을 접은건 잘 한 결정이지만 가전까지 이어지지 않았으면 합니다. 잘만들었는데 마케팅이 구려서 못판다은 엘지식 요상하고 금방 들통날 싸구려 마케팅에 돈쓰지 말고 이런 핵심적인 어플에 역량을 보탰으면 합니다. 안팔리는건 구려서 안팔리는 겁니다. lg가전에 꼭 필요한 이 어플은 몹시 구립니다.
35,36,20220418,2022,04,18,3,GOMUDOR *,"공기청정기를 취침시간쯤은 취침모드로 자동으로 변경되었다가 2시간후 꺼지게 계속 사용해왔는데 이번 업데이트에서는 설정은 있는데 작동을 안합니다. 아침에 일어날때까지 자동으로 계속 돌아가고 있더라고요. 여러가지 고려해서 바꾸셨겠지만 모든기능을 다 세팅할수 없는건지는 모르겠지만 사용자가 기능을 찾을수없다면 소용이 없지않나요. 기본적으로는 좀 직관적으로 세팅을 할 수 있도록 메뉴를 만들어주셨으면 좋겠고,싱큐는 업데이트하면 하루이틀은 버벅거림이 매번 있습니다. 쓰던기능을 없애거나 바꾸실때는 세심하게 관리 부탁드립니다."
36,37,20220527,2022,05,27,5,정성미,별 필요를 못느껴서 그동안 등록을 안하고 있었는데 에어컨 구매하고 편리함을 알게되어 이제서야 등록했어요. 진즉에 할걸 그랬어요. 관라도 해주고 정말 편리한 기능입니다~~
37,38,20220329,2022,03,29,3,月光團員,"1. TV소리를 휴대폰에서 듣기 싱크문제는 해결된거 같던데 해당 기능을 비활성하면 소리가 이전 설정(광디지털 및 블루투스)이 아닌 TV에서 나옴 2. TV통합리모컨에 등록된 오디오 볼륨이나 음소거버튼은 기본적으로 안 먹히고, 앱을 켜고 매번 TV설정에 들어가 해당 사운드 프로파일을 다시 설정해줘야 버튼이 먹힘 (무용) 3. TV리모컨에선 확장등록된 오디오기기 전원을 켜거나 끄는 기능이 없는데(등록할땐 그걸로 찾으면서) 하다못해 앱에선 넣어줬으면 하는 바램"
38,39,20220710,2022,07,10,1,ManChon Potato,이걸 앱 이라고 만들었냐 연결하는데 40분은 걸렸고 연결되고 나니 와이파이 연결이 또 안되네.. 삼성처럼 좀 쉽게 만들어라 직관적으로
39,40,20220611,2022,06,11,2,권순우,기능은 점점 많아지고 Ui는 같이 복잡해지고 로딩 무한렉 제품 on /off 스마트 폰으로 하려다 계속 되는 로딩에 (사과 전구 티비 냉장고 등등) 그냥 일어나 손으로 껐네요. LG의 장점 잔기능이 참 많다 단점 점점 복잡 해지고 버그가 발생된다.
40,41,20220625,2022,06,25,5,Heeeun Seo,너무 잘 사용하고 있습니다. 광파오븐 가정간편식에 피코크도 추가해주세요ㅜ.ㅜ 제가 직접 설정해서 하다보면 원하는데로 조리가 안될때가 많아요. 피코크꺼 많이 사먹는데 없어서 아쉬워요.
41,42,20220704,2022,07,04,1,김수현,"오랜만에 쓰려니, 이미 등록된 기기랑 연결도 안되고, 연결 변경이든 새로 주변 제품 찾기든 뭘 누르든 빈화면으로 어플이 멈춰버립니다 ㅡㅡ"
42,43,20220627,2022,06,27,1,in in,편하긴한데 한번씩 아디쓰고 다시 들어가래요.비번눌러도 안되고..더운날 쓰라고 만들어놓고 더운날 화나게해요.비번이 안되서 비번재설정하는데 기존 비번은 사용 불가래요.
43,44,20220627,2022,06,27,1,장미,제품 연결하려는데 넘어가질않아요 작년에는 에어컨 연결할랫더니 와이파이2.4는 안된다고 연결안되더니 이번에는 앱 자체가 넘어가질않네요. 사용가능하긴 한가요?
44,45,20220708,2022,07,08,1,유쾌댕,김치냉장고는 KT 인터넷과의 연결이 완전 꽝입니다 채널 설정을 따로 해주고 여러 조작을 해야 비로소 연결이 되네요 심지어 연결 후에도 잘안됩니다 비싸게 주고 산 가전인데 이런 부분은 손봐야 하지 않겠습니까 만들어 봤자 뭐합니까 개똥같은데 그리고 설치기사 관리도 좀 하십쇼 이러니 삼성이 더 잘나가지
45,46,20220711,2022,07,11,1,영이,에어컨 설치 후 전기사용량 보는데 900만원정도 예상 금액 나와서 기절할뻔 어느정도 차이가 있다는데 넘 심한거 아닌가요...하루 실시간 사용량도 되다가 안되요 몇번 어플 지우고 다시 깔아서 등록다시하고 했는지....한 2틀 잘되다 안댑니다ㅡㅡ
46,47,20220620,2022,06,20,3,Michael Lee,에어컨 와이파이 연결하는 연결 화면이 이상하게 나옵니다. 그래서 와이파이 검색된 목록을 선택할 수 없네요. 삐른 수정 바랍니다
47,48,20220627,2022,06,27,1,한현정,업데이트 하라는 메세지 이후 로그인이 안되고 있네요. 후기에도 로그인 오류가 많은데 이대로 로그인이 안되는건가요? 그럼 이 어플은 왜 있는거죠? 광고는 엄청 하고 있는데 무쓸모인것을..
48,49,20220614,2022,06,14,1,호빵,3년째 단 한 번도 와이파이 연결이 안됩니다^^ 예약이나 조작은 물론 스마트진단 등 아무것도 안됩니다^^ 소리로 진단 또한 안되구요 가전은 lg일지언정 모바일은 역시 삼성인가봅니다
49,50,20220601,2022,06,01,1,제와피팍,잘써왔는데 업데이트 후 에어컨 전원 켜기 끄기 이외 설정 화면이 안됩니다.. 에어컨과 연결이 잘안되는듯한데 불편합니다.
50,51,20220601,2022,06,01,1,최민정,핸펀바꾸기 전에 완전 잘썼는데 핸드폰 바꾸고 로그인 자체가 안돼요 lg계정으로 아이디 넣고 비번이 틀리다고 비번바꾸기만 이틀째에요(메일로 계속 비번바꾸기 하고 있어요) 앱접근권한 다 동의되어있어요 왜 이런거죠ㅠ
51,52,20220518,2022,05,18,5,신예슬,"저는 행드폰으로 작동시킬수 있어 너무 좋아요. 다만 세탁기, 건조기,스타일러는 직접 제품에 예약이나 켰을때 작동하는데 문닫힘을 감지하면 바로 작동될 수 있게 바뀌면 좋을 것 같아요. 약시 가전은 엘지죠"
52,53,20220601,2022,06,01,1,정민규,그제 업데이트한 후부터 제품은 뜨는데 클릭해서 들어가면 계속 리딩 아이콘만 무한반복 중ㅡㅡ 아놔 업데이트는 괜히 해서...사서 고생중이네여...이럴꺼 왜 업데이트는 시키는지...
53,54,20220610,2022,06,10,3,이길중,왜 자동화 모드 삭제가 안되죠? 설정도 잘 안됩니다. 1대1문의도 드렸는데 답변도 없고 어플 업데이트 좀 부탁드립니다. 사용하기 너무 불편하네요.
54,55,20220329,2022,03,29,4,김덕천,"기본 세팅은 폰에서 할 수 있지만 세탁기, 건조기는 세팅 완료 후 기계로 직접 가서 스타트 버튼을 눌러야 한다는게 좀... 세팅 확인 차원일 줄 모르겠지만 폰으로 세팅 후 다시 기계로 가야하는 번거로움은 있네요... 그래조 다운로드 메뉴월이 다양한거 같아 편리하고 좋습니다"
55,56,20220408,2022,04,08,1,Youngkyu Baek,동의하다 암걸림 그제 동의하고 어제동의하고 오늘동의하고 내일 동의해야 쓸수있겠지. 배경은 요즘 그 흔한 검은 테마도 없어서 밤에 뭔가 제어하려면 강제눈갱 반응성 또한 느림. 다음 가전은 삼성으로. 아울러 직관적이지 못한 UI는 아직 삼십대인 날 에어컨하나 컨트롤 잘 못하는 기계치로 만든다. (아 나 능력있는 개발잔데 존심 상하게..) 거두절미하고 총평 : 이 앱은 개발 철학부터 잘못되었음.
56,57,20220414,2022,04,14,1,Andy u,삼성 쓰다 lg앱써보니 한숨만 나옵니다. 만들다 만 것같아요. 코드제로 r9 연결해서 쓰고 있는데 냉장고 말고 스마트기기는 역시 삼성인가요? 가전은 LG란말 누가 만들었나 싶네요. 5년전에 세탁기 어플 연결해보고 빡쳐서 지웠다가 로봇청소기를 구입해서 다시깔았는데. 5년전이나 지금이나... 똑같네. 부탁인데 코드제로 r9앱 업데이트 좀 시키세요 한두푼도 아닌데 중국 어플만도 못합니다. 반성하고 노력 좀 해주세요. 다시는 LG 스마트기기사고 싶지 않을 정도입니다. 제발좀 업데이트 좀 하세요. 음성 볼륨조절 기능 같은 기본적인것도 없고... 도면 저장 기능도 없고 등등등... 청소기는 소프트웨에 업데이트를 해주긴 할껀가요?? 청소 중 어딘가에 걸리면 자동 전원꺼짐 모드로 알려주지도 않고 연결 차단.. 외부에서 컨트롤 불가 이렇게 만들고 100만원 넘는 가격에 제품을 파나요
57,58,20220511,2022,05,11,3,HE Kim,오늘까지 잘 사용하다.. 업데이트가 있길래.. 업데이트 했는데.. Tv외에 냉장고 인덕션 세척기 건조기 전부 클릭하면 모래시계같은거만 무한 되풀이되고 있습니다. 빨리 고쳐주세요.
58,59,20220219,2022,02,19,1,une hee lee,작년 여름에 업데이트하고 잘사용하던 스타일러가 다운로드를 사용안되더니 이젠 세탁기 다운로드 사용이 안됩니다. 그냥 능력치 안되면 전문기간에 앱을 맡기세요. 솔직히 실망감이 너무 큽니다.지금 1년 가까이 사용을 못하고 있습니다. 이번 업데이트에 희망을 걸었건만 더 심해졌어요.
59,60,20220311,2022,03,11,1,hc p,아진짜 완전 짜증나네요 웬만하면 이런리뷰 진짜안쓰는데 매번 업데이트한뒤 연결안돼서 삭제재설치하면서 쓰는것도 번거롭지만 그냥 썼었는데 이번엔 와이파이비번이 틀리대서 입력했는데도 잘못됐다 그래서 lg 와이파이?이걸삭제하고 연결하니 또 잘못된비번이라면서 변경도 안되고 전혀 연결이 안되고 너무너무 답답하네요 이래서 LG는 삼성한테 밀리나보네요
60,61,20220626,2022,06,26,1,이남균,후...어떻게하면 추가할 수 있어요? qr도 안되고 수동 추가도 안되고 할 수 있는 방법이 없어요.와이파이 비번입력 후 확인만 누르면 먹통이 되니 추가할 방도가 없네요.. 리뷰쓰고 지웁니다
