,Text,Label,text_tokenized,text_tokenized2
13,아내의 건강이 갑자기 악화됐어. 너무 걱정스럽고 불안해.,불안,"['아내', '건강', '갑자기', '악화', '돼다', '너무', '걱정스럽다', '불안하다']","['아내', '건강', '갑자기', '악화', '걱정스럽다', '불안하다']"
14,남편이 죽기 전에 손자들 얼굴 보고 싶다고 했는데 다행히 늦지 않아서 안도했어.,기쁨,"['남편', '죽다', '전', '손자', '얼굴', '보고', '싶다', '하다', '다행하다', '늦다', '않다', '안도', '하다']","['남편', '죽다', '손자', '얼굴', '보고', '싶다', '다행하다', '늦다', '않다', '안도']"
15,날 좋아하는 남자애가 내 생일에 케이크을 선물해 주고는 친구들한테 나랑 사귄다고 소문을 내고 다닌 거야.,분노,"['날', '좋아하다', '남자', '애가', '내', '생일', '케이', '크다', '선물', '하다', '주다', '친구', '나', '사귀다', '소문', '내다', '다니다']","['좋아하다', '남자', '애가', '생일', '케이', '크다', '선물', '주다', '친구', '사귀다', '소문', '내다', '다니다']"
16,이번에도 고시에 불합격했어. 부모님께 무슨 소리를 들을지 벌써부터 두려워.,불안,"['이번', '고시', '불합격', '하다', '부모님', '무슨', '소리', '들다', '벌써', '두렵다']","['고시', '불합격', '부모님', '소리', '들다', '벌써', '두렵다']"
17,내가 일할 수 있는 자리가 점점 줄어든다는 걸 생각하니 너무 속상해.,분노,"['내', '일', '하다', '수', '있다', '자리', '점점', '줄어들다', '걸', '생각', '하다', '너무', '속상하다']","['자리', '점점', '줄어들다', '생각', '속상하다']"
18,남편과 건강하게 오랫동안 살고 싶은데 남편이 당뇨병에 걸렸다.,슬픔,"['남편', '건강하다', '오랫동안', '살', '싶다', '남편', '당뇨병', '걸리다']","['남편', '건강하다', '오랫동안', '살', '싶다', '남편', '당뇨병', '걸리다']"
19,공부를 해도 성적이 오르지 않아. ,불안,"['공부', '해도', '성적', '오르다', '않다']","['공부', '성적', '않다']"
20,지난주에 주식이 폭락해서 너무 큰 손해를 봤어. 어떻게 해야 좋을지 모르겠고 정신이 나갈 것 같아.,슬픔,"['지난주', '주식', '폭락', '하다', '너무', '크다', '손해', '보다', '어떻다', '하다', '좋다', '모르다', '정신', '나가다', '것', '같다']","['지난주', '주식', '폭락', '크다', '손해', '보다', '어떻다', '좋다', '모르다', '정신', '나가다']"
21,열심히 다이어트를 했는데 그대로야.,분노,"['열심히', '다이어트', '하다', '그대로']","['열심히', '다이어트', '그대로']"
22,요즘 아들이 말도 없이 사업을 시작했나봐.,당황,"['요즘', '아들', '말', '없이', '사업', '시작', '하다', '보다']","['요즘', '아들', '말', '없이', '사업', '시작', '보다']"
23,친구가 사준 로또가 당첨이 됐어.,기쁨,"['친구', '사다', '로또', '당첨', '돼다']","['친구', '사다', '로또', '당첨']"
24,교수님께서 과제로 내주신 에세이에 엄청 애쓴 내가 너무 한심해.,당황,"['교수', '과제', '내주다', '에세이', '엄청', '애쓰다', '내', '너무', '한심하다']","['교수', '과제', '내주다', '에세이', '엄청', '애쓰다', '한심하다']"
25,어릴 때는 친구들과 사이가 좋았는데 요즘 친구들과는 관계가 서먹해서 친구의 의미가 없는 것 같아.,슬픔,"['어리다', '때', '친구', '사이', '좋다', '요즘', '친구', '관계', '서먹하다', '친구', '의미', '없다', '것', '같다']","['어리다', '친구', '사이', '좋다', '요즘', '친구', '관계', '서먹하다', '친구', '의미']"
26,엄마가 갑자기 나한테 잘해줘.,불안,"['엄마', '갑자기', '나', '잘해주다']","['엄마', '갑자기', '잘해주다']"
27,빨리 정년퇴직하고 공기 좋은 시골로 내려가서 살고 싶어. 도시는 너무 답답하고 힘들어.,분노,"['빨리', '정년', '퇴직', '공기', '좋다', '시골', '내려가다', '살', '싶다', '도시', '너무', '답답하다', '힘들다']","['빨리', '정년', '퇴직', '공기', '좋다', '시골', '내려가다', '살', '싶다', '도시', '답답하다', '힘들다']"
28,올해 경기가 안 좋아서 그런지 내 월급 인상은 없었어.,슬픔,"['올해', '경기', '안', '좋다', '그렇다', '내', '월급', '인상', '없다']","['올해', '경기', '좋다', '그렇다', '월급', '인상']"
29,남편이 내 돈을 들고 집을 나갔어. 어떡하지?,당황,"['남편', '내', '돈', '들다', '집', '나가다', '어떡하다']","['남편', '돈', '들다', '집', '나가다', '어떡하다']"
30,요즘 살이 너무 많이 쪄서 걱정이야.,불안,"['요즘', '살이', '너무', '많이', '찌다', '걱정']","['요즘', '살이', '많이', '찌다', '걱정']"
31,결혼을 한 후 장모님이 자주 우리 집을 오시더라고.,불안,"['결혼', '하다', '후', '장모님', '자주', '우리', '집', '시더']","['결혼', '장모님', '자주', '집', '시더']"
32,난 아주 성실하게 살아왔다고 자신하지만 주변에 남은 이가 아무도 없어. 공허함에 눈물만 나네.,슬픔,"['난', '아주', '성실하다', '살아오다', '자신', '하다', '주변', '남다', '이', '아무', '없다', '공허하다', '눈물', '나다']","['아주', '성실하다', '살아오다', '주변', '남다', '아무', '공허하다', '눈물', '나다']"
33,은퇴 후의 삶이 참 걱정이 되네. ,불안,"['은퇴', '후의', '삶', '차다', '걱정', '되다']","['은퇴', '후의', '삶', '차다', '걱정']"
34,나이가 많다고 이번 프로젝트를 맡지 못했어. 정말 화가 나.,분노,"['나이', '많다', '이번', '프로젝트', '맡다', '하다', '정말', '화가', '나']","['나이', '많다', '프로젝트', '맡다', '정말', '화가']"
35,시험을 잘 보지 못해서 부모님께 혼날까 봐 걱정했는데 오히려 다독여 주셔서 다행이야.,기쁨,"['시험', '자다', '보지', '하다', '부모님', '혼나다', '보다', '걱정', '하다', '오히려', '다독이다', '주다', '다행']","['시험', '자다', '보지', '부모님', '혼나다', '보다', '걱정', '다독이다', '주다', '다행']"
36,부인이 건강검진 결과가 나왔는데 건강 상태가 좋질 않아 충격을 받은 모양이야.,상처,"['부인', '건강검진', '결과', '나오다', '건강', '상태', '좋다', '않다', '충격', '받다', '모양']","['부인', '건강검진', '결과', '나오다', '건강', '상태', '좋다', '않다', '충격', '받다', '모양']"
37,이가 너무 안 좋은데 틀니는 하기 싫고 임플란트는 비싸네.,불안,"['이', '너무', '안', '좋다', '틀니', '하다', '싫다', '임플란트', '비싸다']","['좋다', '틀니', '싫다', '임플란트', '비싸다']"
38,나 병원에 가 봐야 할 것 같아.,상처,"['나', '병원', '가다', '보다', '하다', '것', '같다']","['병원', '가다', '보다']"
39,아들 차를 탔는데 불안해서 편하게 있지를 못하겠어.,불안,"['아들', '차', '타다', '불안하다', '편하다', '있다', '하다']","['아들', '차', '불안하다', '편하다']"
40,회사에 이번에 중년의 신입이 들어왔어. 회사에서 나이를 안 보고 뽑는 건 알았으나 중년의 신입이라고 하니 약간은 불편했지. ,불안,"['회사', '이번', '중년', '신입', '들어오다', '회사', '나이', '안', '보고', '뽑다', '건', '알다', '중년', '신입', '하니', '약간', '불편하다']","['회사', '중년', '신입', '들어오다', '회사', '나이', '보고', '뽑다', '알다', '중년', '신입', '불편하다']"
41,요즘 너무 짜증 나.,분노,"['요즘', '너무', '짜증', '나']","['요즘', '짜증']"
42,나 이번에 남자친구 생겼어.,기쁨,"['나', '이번', '남자친구', '생기다']","['남자친구', '생기다']"
43,은퇴를 하고 주식과 부동산을 했지만 잘 풀리지 않아서 너무 짜증나.,분노,"['은퇴', '하다', '주식', '부동산', '하다', '자다', '풀리다', '않다', '너무', '짜증나다']","['은퇴', '주식', '부동산', '자다', '풀리다', '않다', '짜증나다']"
44,요즘 남편이 자꾸 집에 늦게 들어오네.,불안,"['요즘', '남편', '자꾸', '집', '늦다', '들어오다']","['요즘', '남편', '자꾸', '집', '늦다', '들어오다']"
45,이제까지 열심히 살아왔는데 암이라니! 나한테 어떻게 이럴 수 있어!,분노,"['이제', '열심히', '살아오다', '암', '나', '어떻다', '이렇다', '수', '있다']","['이제', '열심히', '살아오다', '암', '어떻다', '이렇다']"
46,아들 녀석이 학원을 제대로 다니는가 싶었는데 그게 아니었어. 정말 속상해.,상처,"['아들', '녀석', '학원', '제대로', '다니다', '싶다', '그게', '아니다', '정말', '속상하다']","['아들', '녀석', '학원', '제대로', '다니다', '싶다', '그게', '아니다', '정말', '속상하다']"
47,아직도 아들을 중심으로 돌아가는 가족에 환멸을 느껴.,슬픔,"['아직도', '아들', '중심', '돌아가다', '가족', '환멸', '느끼다']","['아직도', '아들', '중심', '돌아가다', '가족', '환멸', '느끼다']"
48,믿었던 친구에게 돈 때문에 배신당해서 너무 슬프다.,슬픔,"['믿다', '친구', '돈', '때문', '배신', '당하다', '너무', '슬프다']","['믿다', '친구', '돈', '때문', '배신', '당하다', '슬프다']"
49,오랜만에 만난 친구들에게 비통한 마음이 들었어.,슬픔,"['만', '만난', '친구', '비통하다', '마음', '들다']","['만난', '친구', '비통하다', '마음', '들다']"
50,젊은 시절에 내가 했던 일이 이제 와 한심해.,당황,"['젊다', '시절', '내', '하다', '이제', '오다', '한심하다']","['젊다', '시절', '이제', '오다', '한심하다']"
51,내 직업이 십 년 안에 기계로 대체될 거래.,슬픔,"['내', '직업', '십', '년', '안', '기계로', '대체', '되다', '거래']","['직업', '십', '기계로', '대체', '거래']"
52,엄마가 신문을 보시다가 성 소수자를 차별하는 발언을 했는데 그 모습이 너무 혐오스러웠어.,당황,"['엄마', '신문', '보다', '성', '소수자', '차별', '하다', '발언', '하다', '그', '모습', '너무', '혐오', '스럽다']","['엄마', '신문', '보다', '성', '소수자', '차별', '발언', '모습', '혐오', '스럽다']"
53,치과의 과잉 진료로 안 해도 되는 임플란트까지 하게 되어 큰돈을 지불했어.,상처,"['치과', '과잉', '진료', '안', '해도', '되다', '임플란트', '하다', '되어다', '크다', '돈', '지불', '하다']","['치과', '과잉', '진료', '임플란트', '크다', '돈', '지불']"
54,요즘 같은 시기에는 결혼도 하고 싶지 않아.,슬픔,"['요즘', '같다', '시기', '결혼', '하다', '싶다', '않다']","['요즘', '시기', '결혼', '싶다', '않다']"
55,아내가 아이를 갖자고 하는데 아이 키우는 친구들이 많이 힘들어하는 것 같아서 아이 낳는 것이 조심스러워.,불안,"['아내', '아이', '갖다', '하다', '아이', '키우다', '친구', '많이', '힘들다', '것', '같다', '아이', '낳다', '것', '조심스럽다']","['아내', '갖다', '키우다', '친구', '많이', '힘들다', '낳다', '조심스럽다']"
56,연락이 끊겼던 친구랑 만나기로 했어. 정말 기뻐.,기쁨,"['연락', '끊기다', '친구', '만나다', '하다', '정말', '기쁘다']","['연락', '끊기다', '친구', '만나다', '정말', '기쁘다']"
57,재정적으로 큰 사기를 당한 이후로 모든 사람들을 믿을 수 없게 되었어.,슬픔,"['재정', '크다', '사기', '당한', '이후', '모든', '사람', '믿다', '수', '없다', '되어다']","['재정', '크다', '사기', '당한', '이후', '모든', '사람', '믿다']"
58,아내가 오랜만에 만난 친구조차 못 만나게 해.,분노,"['아내', '만', '만난', '친구', '못', '만나다', '해']","['아내', '만난', '친구', '만나다']"
59,친구에게 거짓말을 했는데 들켰어. 그 친구가 소문낼까 봐 무서워서 다른 애들을 만나지 못하게 했어.,불안,"['친구', '거짓말', '하다', '들키다', '그', '친구', '소문', '내다', '보다', '무섭다', '다른', '애', '만나다', '하다', '하다']","['친구', '거짓말', '들키다', '친구', '소문', '내다', '보다', '무섭다', '애', '만나다']"
60,산책하던 중에 갑자기 자전거가 튀어나와 팔목이 부러졌지 뭐야.,상처,"['산책', '하다', '중', '갑자기', '자전거', '튀어나오다', '팔목', '부러지다', '뭐']","['산책', '갑자기', '자전거', '튀어나오다', '팔목', '부러지다']"
61,얼마 전 면접 본 회사에서 합격했다고 오늘 연락이 왔어. 너무 신나.,기쁨,"['얼마', '전', '면접', '보다', '회사', '합격', '하다', '오늘', '연락', '오다', '너무', '신나다']","['면접', '보다', '회사', '합격', '오늘', '연락', '오다', '신나다']"
62,모든 게 끝난 느낌이야. 투자했던 주식이 폭락했어.,슬픔,"['모든', '게', '끝나다', '느낌', '투자', '하다', '주식', '폭락', '하다']","['모든', '끝나다', '느낌', '투자', '주식', '폭락']"
63,아들 녀석 때문에 온 집안이 난리였어.,기쁨,"['아들', '녀석', '때문', '온', '집안', '난리', '이다']","['아들', '녀석', '때문', '집안', '난리']"
64,며칠 전에 친구 집에서 가족들이 모여 함께 텔레비전을 시청하는데 혐오스러운 장면이 나와서 당황스러웠어.,당황,"['며칠', '전', '친구', '집', '가족', '모이다', '함께', '텔레비전', '시청', '하다', '혐오', '장면', '나오다', '당황', '스럽다']","['며칠', '친구', '집', '가족', '모이다', '텔레비전', '시청', '혐오', '장면', '나오다', '당황', '스럽다']"
65,선생님이 학교 폭력 가해자 학생들을 불러 처벌하시고 혼내주셔서 너무 통쾌하고 짜릿해.,기쁨,"['선생님', '학교', '폭력', '가해자', '학생', '불다', '처벌', '하다', '혼내다', '너무', '통쾌하다', '짜릿하다']","['선생님', '학교', '폭력', '가해자', '학생', '불다', '처벌', '혼내다', '통쾌하다', '짜릿하다']"
66,비만이라고 걱정만 하지 말고 걷기만 해도 체중이 빠지니 기분이 좋아.,기쁨,"['비만', '걱정', '하다', '걷기', '해도', '체중', '빠지다', '기분', '좋다']","['비만', '걱정', '걷기', '체중', '빠지다', '기분', '좋다']"
67,어제 회사에서 정말 창피한 일을 경험했어.,당황,"['어제', '회사', '정말', '창피하다', '일', '경험', '하다']","['어제', '회사', '정말', '창피하다', '경험']"
68,여름에는 땀을 많이 흘려서 아침에 샤워하지 않나? 어떤 직원은 아침부터 땀 냄새가 구역질 날 정도로 진동을 해.,분노,"['여름', '땀', '많이', '흘리다', '아침', '샤워', '하다', '않다', '어떻다', '직원', '아침', '땀', '냄새', '구역질', '날', '정도', '진동', '해']","['여름', '땀', '많이', '흘리다', '아침', '샤워', '않다', '어떻다', '직원', '아침', '땀', '냄새', '구역질', '정도', '진동']"
69,시댁에 가면 의지할 사람이 아무도 없어.,상처,"['시댁', '가면', '의지', '하다', '사람', '아무', '없다']","['시댁', '가면', '의지', '사람', '아무']"
70,병원비를 지불해야 하는데 자식들이 보내주는 용돈이 끊겨 병원비를 못 내고 있어서 서운해.,당황,"['병원', '비', '지불', '하다', '하다', '자식', '보내다', '용돈', '끊기다', '병원', '비', '못', '내다', '있다', '서운하다']","['병원', '비', '지불', '자식', '보내다', '용돈', '끊기다', '병원', '비', '내다', '서운하다']"
71,병을 앓으면서 친하게 지내던 동호회 사람들과 멀어졌어.,상처,"['병', '앓다', '친하다', '지내다', '동호회', '사람', '멀어지다']","['병', '앓다', '친하다', '지내다', '동호회', '사람', '멀어지다']"
72,딸이 또 공무원 시험에 떨어졌대. 애쓰는 걸 지켜봐서 그런지 내 마음도 괴롭네.,상처,"['딸', '또', '공무원', '시험', '떨어지다', '애쓰다', '걸', '지켜보다', '그렇다', '내', '마음', '괴롭다']","['딸', '공무원', '시험', '떨어지다', '애쓰다', '지켜보다', '그렇다', '마음', '괴롭다']"
73,제대로 된 노후준비도 못 한 채로 은퇴를 하게 생겼어. 앞날이 막막해.,슬픔,"['제대로', '되다', '노후', '준비', '못', '하다', '채', '은퇴', '하다', '생기다', '앞날', '막막하다']","['제대로', '노후', '준비', '채', '은퇴', '생기다', '앞날', '막막하다']"
74,아빠가 최신형 컴퓨터를 사줬어. 너무 기뻐.,기쁨,"['아빠', '최신', '컴퓨터', '사주다', '너무', '기쁘다']","['아빠', '최신', '컴퓨터', '사주다', '기쁘다']"
75,나는 아이를 낳기 싫어.,슬픔,"['나', '아이', '낳다', '싫다']","['낳다', '싫다']"
76,엄마와 아빠가 나 때문에 싸워서 속상해.,불안,"['엄마', '아빠', '나', '때문', '싸우다', '속상하다']","['엄마', '아빠', '때문', '싸우다', '속상하다']"
77,오늘 수학점수가 많이 올라서 엄마에게 보여드렸더니 칭찬을 받았어.,기쁨,"['오늘', '수학', '점수', '많이', '올라서다', '엄마', '보이다', '드리다', '칭찬', '받다']","['오늘', '수학', '점수', '많이', '올라서다', '엄마', '보이다', '드리다', '칭찬', '받다']"
78,학교에서 아무도 말을 걸어주지 않아. 모두 나에게 등을 돌린 기분이야.,당황,"['학교', '아무', '말', '걸다', '않다', '모두', '나', '등', '돌리다', '기분']","['학교', '아무', '말', '걸다', '않다', '돌리다', '기분']"
79,이젠 집에만 있으니 아내와 마찰만 생기는 것 같아 반려견을 입양했어.,분노,"['젠', '집', '있다', '아내', '마찰', '생기다', '것', '같다', '반려견', '입양', '하다']","['젠', '집', '아내', '마찰', '생기다', '반려견', '입양']"
80,회사 일을 열심히 해봐도 이게 다 무슨 의미가 있는 건지 하는 회의감이 많이 들어.,불안,"['회사', '일', '열심히', '해보다', '이', '다', '무슨', '의미', '있다', '건지다', '하다', '회의', '감', '많이', '들다']","['회사', '열심히', '해보다', '의미', '건지다', '회의', '감', '많이', '들다']"
81,병이 있어도 내 집이 있으니 아직은 편안하고 기쁘네.,기쁨,"['병', '있다', '내', '집', '있다', '아직', '은', '편안하다', '기쁘다']","['병', '집', '아직', '편안하다', '기쁘다']"
82,노후준비하려고 모아놓은 돈을 남편이 사업자금으로 다 날렸어. 어떻게 모은 돈인데 그걸 다 날리다니! ,분노,"['노후', '준비', '려고', '모으다', '돈', '남편', '사업', '자금', '다', '날리다', '어떻다', '모으다', '돈', '그걸', '다', '날리다']","['노후', '준비', '려고', '모으다', '돈', '남편', '사업', '자금', '날리다', '어떻다', '모으다', '돈', '그걸', '날리다']"
83,대학 친구들하고는 같이 있어도 재미가 없어.,불안,"['대학', '친구', '같이', '있다', '재미', '없다']","['대학', '친구', '재미']"
84,나는 내성적이라 친구 사귀는 게 어려워. 전학 가서 잘 적응할지 걱정이야.,불안,"['나', '성적', '친구', '사귀다', '게', '어렵다', '전학', '가다', '자다', '적응하다', '걱정']","['성적', '친구', '사귀다', '어렵다', '전학', '가다', '자다', '적응하다', '걱정']"
85,대인관계에 혼란을 느껴.,불안,"['대인관계', '혼란', '느끼다']","['대인관계', '혼란', '느끼다']"
86,나이는 먹어 가는데 벌어놓은 돈은 없으니 걱정이야.,당황,"['나이', '먹다', '가다', '벌다', '돈', '없다', '걱정']","['나이', '먹다', '가다', '벌다', '돈', '걱정']"
87,애인이 있는데 안정된 가정을 얼른 꾸리고 싶다며 계속 결혼을 재촉하네.,불안,"['애인', '있다', '안정', '되다', '가정', '얼른', '꾸리', '싶다', '계속', '결혼', '재촉', '하다']","['애인', '안정', '가정', '얼른', '꾸리', '싶다', '계속', '결혼', '재촉']"
88,부인이 다른 집 남편들과 나를 비교해. 나는 위축되는 기분이고 이게 꿈에 그리던 신혼 생활이 맞나 싶어.,슬픔,"['부인', '다른', '집', '남편', '나르다', '비교', '하다', '나', '위축', '되다', '기분', '이', '꿈', '그리다', '신혼', '생활', '맞다', '싶다']","['부인', '집', '남편', '나르다', '비교', '위축', '기분', '꿈', '그리다', '신혼', '생활', '맞다', '싶다']"
89,몸이 안좋으데 이제 어떻게 살아가야 하는지 . 많이 혼란스럽네.,불안,"['몸', '안좋다', '이제', '어떻다', '살아가다', '하다', '많이', '혼란', '스럽다']","['몸', '안좋다', '이제', '어떻다', '살아가다', '많이', '혼란', '스럽다']"
90,정년퇴직을 하게 되었어. 노후 준비를 다 해놔서 그런지 두렵지 않아. 너무 기뻐.,기쁨,"['정년', '퇴직', '하다', '되어다', '노후', '준비', '다', '해', '놓다', '그렇다', '두렵다', '않다', '너무', '기쁘다']","['정년', '퇴직', '노후', '준비', '놓다', '그렇다', '두렵다', '않다', '기쁘다']"
91,진짜 공부 못하던 친구가 우리 회사에 합격했대. 너무 배 아파.,상처,"['진짜', '공부', '하다', '친구', '우리', '회사', '합격', '하다', '너무', '배', '아프다']","['진짜', '공부', '친구', '회사', '합격', '배', '아프다']"
92,이제는 자식들이 내게 용돈을 달라고 하지 않는 것으로 만족해.,기쁨,"['이제', '자식', '내다', '용돈', '달라', '하다', '않다', '것', '만족하다']","['이제', '자식', '내다', '용돈', '달라', '않다', '만족하다']"
93,오늘 회사에서 보너스가 나와서 소고기를 사 먹을 거야!,기쁨,"['오늘', '회사', '보너스', '나오다', '소고기', '사', '먹다']","['오늘', '회사', '보너스', '나오다', '소고기', '먹다']"
94,수술해 본 적이 없는데 신장 이식 수술을 받아야 한다고 해서 무서워.,불안,"['수술', '하다', '보다', '적', '없다', '신장', '이식', '수술', '받다', '하다', '하다', '무섭다']","['수술', '보다', '신장', '이식', '수술', '받다', '무섭다']"
95,요즘 내 진로에 대해서 고민이 많아. 명확한 꿈이 없어. 혼란스러워.,당황,"['요즘', '내', '진로', '대해', '고민', '많다', '명확하다', '꿈', '없다', '혼란', '스럽다']","['요즘', '진로', '대해', '고민', '많다', '명확하다', '꿈', '혼란', '스럽다']"
96,이번에는 최종 합격했다고 생각했는데 또 떨어졌어.,상처,"['이번', '최종', '합격', '하다', '생각', '하다', '또', '떨어지다']","['최종', '합격', '생각', '떨어지다']"
97,나한테 오늘 위암 말기 판정이 나왔어.,상처,"['나', '오늘', '위암', '말기', '판정', '나오다']","['오늘', '위암', '말기', '판정', '나오다']"
98,여자 친구에게 생일에 갖고 싶어 하던 액세서리를 사주고 싶었는데 돈이 없어 못 사줬어.,불안,"['여자', '친구', '생일', '갖다', '싶다', '하다', '액세서리', '사주다', '싶다', '돈', '없다', '못', '사주다']","['여자', '친구', '생일', '갖다', '싶다', '액세서리', '사주다', '싶다', '돈', '사주다']"
99,건강검진 빨리해야겠다.,불안,"['건강검진', '빨리', '하다']","['건강검진', '빨리']"
100,얼른 몸이 나아야 딸 결혼식에 갈 수 있을 텐데 마음이 초조해.,불안,"['얼른', '몸', '나다', '딸', '결혼식', '갈다', '수', '있다', '마음', '초조하다']","['얼른', '몸', '나다', '딸', '결혼식', '갈다', '마음', '초조하다']"
101,평소 치질로 고생하고 있는데 치질 전문 병원 앞에서 옆집 사람을 마주쳐서 부끄러웠어.,당황,"['평소', '치질', '고생', '있다', '치질', '전문', '병원', '앞', '옆집', '사람', '마주치다', '부끄럽다']","['평소', '치질', '고생', '치질', '전문', '병원', '옆집', '사람', '마주치다', '부끄럽다']"
102,학교에서 따돌림을 당하고 있어.,분노,"['학교', '따돌림', '당하다', '있다']","['학교', '따돌림', '당하다']"
103,친구가 좋은 사람과 연애하는 거 같아 다행이야.,기쁨,"['친구', '좋다', '사람과', '연애', '하다', '거', '같다', '다행']","['친구', '좋다', '사람과', '연애', '다행']"
104,이제 어떻게 살지? 당뇨병도 심한 상태라 힘든데 어제는 집에 빨간 딱지까지 붙었어.,불안,"['이제', '어떻다', '살', '당뇨병', '심하다', '상태', '힘드다', '어제', '집', '빨갛다', '딱지', '붙다']","['이제', '어떻다', '살', '당뇨병', '심하다', '상태', '힘드다', '어제', '집', '빨갛다', '딱지', '붙다']"
105,딸이 내 생일에 홍삼을 사 오겠다고 해 놓고는 빈손으로 와서 서운했어.,슬픔,"['딸', '내', '생일', '홍삼', '사', '오다', '해', '놓다', '빈손', '오다', '서운하다']","['딸', '생일', '홍삼', '오다', '놓다', '빈손', '오다', '서운하다']"
106,요즘 갱년기가 왔는지 자꾸 이상해져서 마음이 혼란스러워.,불안,"['요즘', '갱년기', '오다', '자꾸', '이상하다', '마음', '혼란', '스럽다']","['요즘', '갱년기', '오다', '자꾸', '이상하다', '마음', '혼란', '스럽다']"
107,이젠 친구들 전화도 띄엄띄엄 오고 참 한심스럽네.,슬픔,"['젠', '친구', '전화', '띄엄띄엄', '오다', '차다', '심', '스럽다']","['젠', '친구', '전화', '띄엄띄엄', '오다', '차다', '심', '스럽다']"
108,어제 엄마가 게임을 못하게 해서 이럴 거면 왜 낳았냐고 화를 냈어.,당황,"['어제', '엄마', '게임', '하다', '하다', '이렇다', '거', '왜', '낳다', '화', '내다']","['어제', '엄마', '게임', '이렇다', '낳다', '화', '내다']"
109,요새 코로나로 일자리가 많이 부족한 것 같아.,기쁨,"['요새', '코로나', '일자리', '많이', '부족하다', '것', '같다']","['요새', '코로나', '일자리', '많이', '부족하다']"
110,친구가 재혼했는데 엄청 연하에 잘 생겼더라고. 질투가 다 나더라.,상처,"['친구', '재혼', '하다', '엄청', '연하', '자다', '생기다', '더', '질투', '다', '나다']","['친구', '재혼', '엄청', '연하', '자다', '생기다', '질투', '나다']"
